datum;fullDepo;balance;equity;hozam;lots
2019.05.01 21:38;427400.79;614063.98;614063.98;4282.83;0.10
2019.05.01 21:40;427400.79;589586.66;589586.66;4282.83;5.00
2019.05.01 22:34;427400.79;587871.98;587871.98;2568.15;0.10
2019.05.02 02:37;427064.26;587535.45;587535.45;2568.15;
2019.05.02 08:25;427064.26;586341.30;586341.30;2568.15;2.50
2019.05.02 09:59;427064.26;590920.62;590920.62;7147.47;0.20
2019.05.02 13:20;427064.26;594401.74;594401.74;7147.47;3.00
2019.05.02 13:29;427064.26;596521.38;596521.38;7147.47;2.50
2019.05.02 18:16;427064.26;585380.77;585380.77;7147.47;4.00
2019.05.02 18:17;427064.26;575232.02;575232.02;7147.47;3.00
2019.05.02 19:05;427064.26;576827.16;576827.16;8742.61;0.10
2019.05.02 20:02;427064.26;571488.81;571488.81;8742.61;7.00
2019.05.03 02:29;427231.30;571655.85;571655.85;8742.61;
2019.05.03 02:29;427815.93;572240.48;572240.48;8742.61;
2019.05.03 02:29;427899.45;572324.00;572324.00;8742.61;
2019.05.03 09:20;427899.45;573107.66;573107.66;8742.61;1.00
2019.05.03 09:20;427899.45;576461.57;576461.57;8742.61;2.00
2019.05.03 09:20;427899.45;581085.86;581085.86;8742.61;2.00
